449	20	125	125
450	10	130	135
449	13	129	131
447	11	131	133
447	12	131	133
447	12	132	133
447	12	131	133
448	12	131	133
449	13	129	131
447	12	130	132
449	12	129	132
449	13	129	132
449	13	129	132
449	13	129	132
450	13	128	131
448	11	132	134
447	11	132	133
445	12	133	133
448	13	130	131
448	12	131	133
449	13	130	131
448	12	131	133
448	12	131	132
446	12	132	134
449	12	129	132
446	12	133	134
449	12	130	132
446	11	132	134
447	11	133	133
446	12	133	134
447	12	133	133
446	11	133	134
447	11	134	134
447	11	134	133
446	12	133	133
446	11	133	133
446	12	133	133
448	12	130	132
447	12	133	132
446	12	133	133
449	12	130	132
447	12	132	132
446	12	133	133
447	11	132	133
446	12	133	133
448	12	131	132
447	11	132	133
446	12	132	134
449	13	129	131
448	13	131	132
447	12	131	132
448	12	131	132
447	13	131	132
